,passage,question,text
0,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين. يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون. في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون. وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون. ألا إنهم هم المفسدون ولكن لا يشعرون. وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون. وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون. الله يستهزئ بهم ويمدهم في طغيانهم يعمهون. أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين.,"لماذا سيُحاسب ويُعذب الضال يوم القيامة ان كان """"من يضلل الله فما له من هاد"""" كما ورد من قوله تعالى في آية 23 و آية 36 من سورة الزمر؟",أولئك الذين اشتروا الضلالة بالهدى
1,إن الذين يكتمون ما أنزل الله من الكتاب ويشترون به ثمنا قليلا أولئك ما يأكلون في بطونهم إلا النار ولا يكلمهم الله يوم القيامة ولا يزكيهم ولهم عذاب أليم. أولئك الذين اشتروا الضلالة بالهدى والعذاب بالمغفرة فما أصبرهم على النار. ذلك بأن الله نزل الكتاب بالحق وإن الذين اختلفوا في الكتاب لفي شقاق بعيد.,"لماذا سيُحاسب ويُعذب الضال يوم القيامة ان كان """"من يضلل الله فما له من هاد"""" كما ورد من قوله تعالى في آية 23 و آية 36 من سورة الزمر؟",أولئك الذين اشتروا الضلالة بالهدى والعذاب بالمغفرة
2,فلا تحسبن الله مخلف وعده رسله إن الله عزيز ذو انتقام. يوم تبدل الأرض غير الأرض والسماوات وبرزوا لله الواحد القهار. وترى المجرمين يومئذ مقرنين في الأصفاد. سرابيلهم من قطران وتغشى وجوههم النار. ليجزي الله كل نفس ما كسبت إن الله سريع الحساب. هذا بلاغ للناس ولينذروا به وليعلموا أنما هو إله واحد وليذكر أولو الألباب.,"لماذا سيُحاسب ويُعذب الضال يوم القيامة ان كان """"من يضلل الله فما له من هاد"""" كما ورد من قوله تعالى في آية 23 و آية 36 من سورة الزمر؟",ليجزي الله كل نفس ما كسبت
3,وجعلنا الليل والنهار آيتين فمحونا آية الليل وجعلنا آية النهار مبصرة لتبتغوا فضلا من ربكم ولتعلموا عدد السنين والحساب وكل شيء فصلناه تفصيلا. وكل إنسان ألزمناه طائره في عنقه ونخرج له يوم القيامة كتابا يلقاه منشورا. اقرأ كتابك كفى بنفسك اليوم عليك حسيبا. من اهتدى فإنما يهتدي لنفسه ومن ضل فإنما يضل عليها ولا تزر وازرة وزر أخرى وما كنا معذبين حتى نبعث رسولا. وإذا أردنا أن نهلك قرية أمرنا مترفيها ففسقوا فيها فحق عليها القول فدمرناها تدميرا. وكم أهلكنا من القرون من بعد نوح وكفى بربك بذنوب عباده خبيرا بصيرا.,"لماذا سيُحاسب ويُعذب الضال يوم القيامة ان كان """"من يضلل الله فما له من هاد"""" كما ورد من قوله تعالى في آية 23 و آية 36 من سورة الزمر؟",كل إنسان ألزمناه طائره في عنقه
4,وجعلنا الليل والنهار آيتين فمحونا آية الليل وجعلنا آية النهار مبصرة لتبتغوا فضلا من ربكم ولتعلموا عدد السنين والحساب وكل شيء فصلناه تفصيلا. وكل إنسان ألزمناه طائره في عنقه ونخرج له يوم القيامة كتابا يلقاه منشورا. اقرأ كتابك كفى بنفسك اليوم عليك حسيبا. من اهتدى فإنما يهتدي لنفسه ومن ضل فإنما يضل عليها ولا تزر وازرة وزر أخرى وما كنا معذبين حتى نبعث رسولا. وإذا أردنا أن نهلك قرية أمرنا مترفيها ففسقوا فيها فحق عليها القول فدمرناها تدميرا. وكم أهلكنا من القرون من بعد نوح وكفى بربك بذنوب عباده خبيرا بصيرا.,"لماذا سيُحاسب ويُعذب الضال يوم القيامة ان كان """"من يضلل الله فما له من هاد"""" كما ورد من قوله تعالى في آية 23 و آية 36 من سورة الزمر؟",من اهتدى فإنما يهتدي لنفسه ومن ضل فإنما يضل عليها
5,وقل الحق من ربكم فمن شاء فليؤمن ومن شاء فليكفر إنا أعتدنا للظالمين نارا أحاط بهم سرادقها وإن يستغيثوا يغاثوا بماء كالمهل يشوي الوجوه بئس الشراب وساءت مرتفقا. إن الذين آمنوا وعملوا الصالحات إنا لا نضيع أجر من أحسن عملا. أولئك لهم جنات عدن تجري من تحتهم الأنهار يحلون فيها من أساور من ذهب ويلبسون ثيابا خضرا من سندس وإستبرق متكئين فيها على الأرائك نعم الثواب وحسنت مرتفقا.,"لماذا سيُحاسب ويُعذب الضال يوم القيامة ان كان """"من يضلل الله فما له من هاد"""" كما ورد من قوله تعالى في آية 23 و آية 36 من سورة الزمر؟",من شاء فليؤمن ومن شاء فليكفر
6,من جاء بالحسنة فله خير منها وهم من فزع يومئذ آمنون. ومن جاء بالسيئة فكبت وجوههم في النار هل تجزون إلا ما كنتم تعملون. إنما أمرت أن أعبد رب هذه البلدة الذي حرمها وله كل شيء وأمرت أن أكون من المسلمين. وأن أتلو القرآن فمن اهتدى فإنما يهتدي لنفسه ومن ضل فقل إنما أنا من المنذرين. وقل الحمد لله سيريكم آياته فتعرفونها وما ربك بغافل عما تعملون.,"لماذا سيُحاسب ويُعذب الضال يوم القيامة ان كان """"من يضلل الله فما له من هاد"""" كما ورد من قوله تعالى في آية 23 و آية 36 من سورة الزمر؟",فمن اهتدى فإنما يهتدي لنفسه ومن ضل فقل إنما أنا من المنذرين
7,فآت ذا القربى حقه والمسكين وابن السبيل ذلك خير للذين يريدون وجه الله وأولئك هم المفلحون. وما آتيتم من ربا ليربو في أموال الناس فلا يربو عند الله وما آتيتم من زكاة تريدون وجه الله فأولئك هم المضعفون. الله الذي خلقكم ثم رزقكم ثم يميتكم ثم يحييكم هل من شركائكم من يفعل من ذلكم من شيء سبحانه وتعالى عما يشركون. ظهر الفساد في البر والبحر بما كسبت أيدي الناس ليذيقهم بعض الذي عملوا لعلهم يرجعون.,"لماذا سيُحاسب ويُعذب الضال يوم القيامة ان كان """"من يضلل الله فما له من هاد"""" كما ورد من قوله تعالى في آية 23 و آية 36 من سورة الزمر؟",ظهر الفساد في البر والبحر بما كسبت أيدي الناس ليذيقهم بعض الذي عملوا
8,ولئن سألتهم من خلق السماوات والأرض ليقولن الله قل أفرأيتم ما تدعون من دون الله إن أرادني الله بضر هل هن كاشفات ضره أو أرادني برحمة هل هن ممسكات رحمته قل حسبي الله عليه يتوكل المتوكلون. قل يا قوم اعملوا على مكانتكم إني عامل فسوف تعلمون. من يأتيه عذاب يخزيه ويحل عليه عذاب مقيم. إنا أنزلنا عليك الكتاب للناس بالحق فمن اهتدى فلنفسه ومن ضل فإنما يضل عليها وما أنت عليهم بوكيل.,"لماذا سيُحاسب ويُعذب الضال يوم القيامة ان كان """"من يضلل الله فما له من هاد"""" كما ورد من قوله تعالى في آية 23 و آية 36 من سورة الزمر؟",من اهتدى فلنفسه ومن ضل فإنما يضل عليها
9,والشمس وضحاها. والقمر إذا تلاها. والنهار إذا جلاها. والليل إذا يغشاها. والسماء وما بناها. والأرض وما طحاها. ونفس وما سواها. فألهمها فجورها وتقواها. قد أفلح من زكاها. وقد خاب من دساها.,"لماذا سيُحاسب ويُعذب الضال يوم القيامة ان كان """"من يضلل الله فما له من هاد"""" كما ورد من قوله تعالى في آية 23 و آية 36 من سورة الزمر؟",ونفس وما سواها. فألهمها فجورها وتقواها. قد أفلح من زكاها. وقد خاب من دساها
